Collection,Name,Year,TV,Film,4K,Blu-ray,3D,DVD,Label,Director,Notes
Pride & Prejudice / Atonement / Sense and Sensibility,Atonement,2007,,✓,,,,✓,Universal,Joe Wright,Box carries no name beyond the three titles
Pride & Prejudice / Atonement / Sense and Sensibility,Sense and Sensibility,1995,,✓,,,,✓,Universal,Ang Lee,Box carries no name beyond the three titles
,Ready Player One,2018,,✓,,✓,✓,,Warner Bros.,Steven Spielberg,
,Guardians of the Galaxy,2014,,✓,,✓,✓,,Disney,James Gunn,
,Avengers: Age of Ultron,2015,,✓,,✓,✓,,Disney,Joss Whedon,
,Doctor Strange,2016,,✓,,✓,✓,,Disney,Scott Derrickson,
,Avengers: Infinity War,2018,,✓,,✓,✓,,Disney,Anthony Russo; Joe Russo,
,Ant-Man,2015,,✓,,✓,✓,,Disney,Peyton Reed,
,Captain America: Civil War,2016,,✓,,✓,✓,,Disney,Anthony Russo; Joe Russo,
,Marvel's Avengers,2012,,✓,,✓,✓,,Disney,Joss Whedon,"UK title ""Marvel Avengers Assemble"""
